# rau, sigma_d, hdust
2.987769e+00 9.211184e+00 1.365206e-02
3.028353e+00 9.149256e+00 1.387489e-02
3.069487e+00 9.087744e+00 1.410135e-02
3.111180e+00 9.026645e+00 1.433151e-02
3.153440e+00 8.965958e+00 1.456543e-02
3.196274e+00 8.905678e+00 1.480316e-02
3.239689e+00 8.845804e+00 1.504478e-02
3.283694e+00 8.786332e+00 1.529033e-02
3.328297e+00 8.727261e+00 1.553990e-02
3.373506e+00 8.668586e+00 1.579354e-02
3.419328e+00 8.610306e+00 1.605132e-02
3.465774e+00 8.552417e+00 1.631331e-02
3.512850e+00 8.494918e+00 1.657957e-02
3.560565e+00 8.437805e+00 1.685018e-02
3.608929e+00 8.381077e+00 1.712520e-02
3.657949e+00 8.324730e+00 1.740472e-02
3.707636e+00 8.268761e+00 1.768879e-02
3.757997e+00 8.213169e+00 1.797751e-02
3.809043e+00 8.157951e+00 1.827093e-02
3.860781e+00 8.103103e+00 1.856915e-02
3.913223e+00 8.048625e+00 1.887223e-02
3.966377e+00 7.994513e+00 1.918026e-02
4.020252e+00 7.940765e+00 1.949332e-02
4.074860e+00 7.887378e+00 1.981148e-02
4.130209e+00 7.834350e+00 2.013484e-02
4.186311e+00 7.781678e+00 2.046348e-02
4.243174e+00 7.729361e+00 2.079748e-02
4.300809e+00 7.677395e+00 2.113693e-02
4.359228e+00 7.625779e+00 2.148193e-02
4.418440e+00 7.574509e+00 2.183255e-02
4.478456e+00 7.523585e+00 2.218890e-02
4.539288e+00 7.473003e+00 2.255106e-02
4.600945e+00 7.422760e+00 2.291914e-02
4.663441e+00 7.372856e+00 2.329322e-02
4.726785e+00 7.323287e+00 2.367341e-02
4.790989e+00 7.274052e+00 2.405980e-02
4.856066e+00 7.225147e+00 2.445250e-02
4.922027e+00 7.176571e+00 2.485161e-02
4.988883e+00 7.128322e+00 2.525723e-02
5.056648e+00 7.080397e+00 2.566947e-02
5.125333e+00 7.032795e+00 2.608845e-02
5.194951e+00 6.985512e+00 2.651426e-02
5.265515e+00 6.938548e+00 2.694702e-02
5.337037e+00 6.891899e+00 2.738684e-02
5.409530e+00 6.845563e+00 2.783385e-02
5.483009e+00 6.799540e+00 2.828815e-02
5.557485e+00 6.753825e+00 2.874986e-02
5.632973e+00 6.708418e+00 2.921911e-02
5.709487e+00 6.663317e+00 2.969602e-02
5.787040e+00 6.618518e+00 3.018071e-02
5.865646e+00 6.574021e+00 3.067332e-02
5.945319e+00 6.529823e+00 3.117396e-02
6.026076e+00 6.485922e+00 3.168278e-02
6.107929e+00 6.442316e+00 3.219990e-02
6.190893e+00 6.399003e+00 3.272546e-02
6.274985e+00 6.355982e+00 3.325960e-02
6.360219e+00 6.313249e+00 3.380245e-02
6.446611e+00 6.270804e+00 3.435417e-02
6.534176e+00 6.228645e+00 3.491489e-02
6.622931e+00 6.186769e+00 3.548477e-02
6.712891e+00 6.145174e+00 3.606395e-02
6.804073e+00 6.103859e+00 3.665257e-02
6.896493e+00 6.062822e+00 3.725081e-02
6.990169e+00 6.022061e+00 3.785881e-02
7.085118e+00 5.981574e+00 3.847674e-02
7.181356e+00 5.941358e+00 3.910475e-02
7.278901e+00 5.901414e+00 3.974301e-02
7.377771e+00 5.861738e+00 4.039169e-02
7.477985e+00 5.822328e+00 4.105095e-02
7.579559e+00 5.783184e+00 4.172098e-02
7.682513e+00 5.744303e+00 4.240194e-02
7.786866e+00 5.705683e+00 4.309402e-02
7.892636e+00 5.667323e+00 4.379739e-02
7.999843e+00 5.629220e+00 4.451224e-02
8.108506e+00 5.591374e+00 4.523876e-02
8.218645e+00 5.553783e+00 4.597714e-02
8.330280e+00 5.516444e+00 4.672757e-02
8.443431e+00 5.479356e+00 4.749025e-02
8.558119e+00 5.442517e+00 4.826538e-02
8.674365e+00 5.405926e+00 4.905316e-02
8.792190e+00 5.369582e+00 4.985380e-02
8.911616e+00 5.333481e+00 5.066750e-02
9.032663e+00 5.297623e+00 5.149449e-02
9.155355e+00 5.262007e+00 5.233497e-02
9.279714e+00 5.226629e+00 5.318917e-02
9.405761e+00 5.191490e+00 5.405732e-02
9.533521e+00 5.156587e+00 5.493963e-02
9.663016e+00 5.121918e+00 5.583635e-02
9.794270e+00 5.087483e+00 5.674770e-02
9.927307e+00 5.053279e+00 5.767392e-02
1.006215e+01 5.019305e+00 5.861527e-02
1.019883e+01 4.985559e+00 5.957197e-02
1.033736e+01 4.952041e+00 6.054430e-02
1.047777e+01 4.918747e+00 6.153249e-02
1.062009e+01 4.885678e+00 6.253681e-02
1.076435e+01 4.852831e+00 6.355753e-02
1.091056e+01 4.820204e+00 6.459490e-02
1.105876e+01 4.787797e+00 6.564921e-02
1.120897e+01 4.755608e+00 6.672072e-02
1.136123e+01 4.723636e+00 6.780973e-02
1.151555e+01 4.691878e+00 6.891650e-02
1.167196e+01 4.660334e+00 7.004135e-02
1.183051e+01 4.629001e+00 7.118455e-02
1.199120e+01 4.597880e+00 7.234641e-02
1.215408e+01 4.566968e+00 7.352724e-02
1.231917e+01 4.536263e+00 7.472733e-02
1.248650e+01 4.505765e+00 7.594702e-02
1.265611e+01 4.475472e+00 7.718661e-02
1.282802e+01 4.445383e+00 7.844644e-02
1.300226e+01 4.415496e+00 7.972683e-02
1.317887e+01 4.385810e+00 8.102812e-02
1.335788e+01 4.356324e+00 8.235064e-02
1.353933e+01 4.327035e+00 8.369475e-02
1.372323e+01 4.297944e+00 8.506080e-02
1.390964e+01 4.269048e+00 8.644915e-02
1.409857e+01 4.240347e+00 8.786016e-02
1.429008e+01 4.211838e+00 8.929420e-02
1.448418e+01 4.183522e+00 9.075164e-02
1.468092e+01 4.155395e+00 9.223287e-02
1.488033e+01 4.127458e+00 9.373828e-02
1.508246e+01 4.099708e+00 9.526826e-02
1.528732e+01 4.072145e+00 9.682321e-02
1.549497e+01 4.044768e+00 9.840354e-02
1.570544e+01 4.017574e+00 1.000097e-01
1.591877e+01 3.990563e+00 1.016420e-01
1.613500e+01 3.963734e+00 1.033010e-01
1.635416e+01 3.937085e+00 1.049871e-01
1.657630e+01 3.910616e+00 1.067006e-01
1.680146e+01 3.884324e+00 1.084422e-01
1.702968e+01 3.858209e+00 1.102122e-01
1.726099e+01 3.832270e+00 1.120110e-01
1.749545e+01 3.806505e+00 1.138392e-01
1.773310e+01 3.780913e+00 1.156973e-01
1.797397e+01 3.755493e+00 1.175857e-01
1.821811e+01 3.730245e+00 1.195049e-01
1.846557e+01 3.705166e+00 1.214554e-01
1.871639e+01 3.680255e+00 1.234378e-01
1.897062e+01 3.655512e+00 1.254525e-01
1.922830e+01 3.630936e+00 1.275002e-01
1.948948e+01 3.606524e+00 1.295812e-01
1.975421e+01 3.582277e+00 1.316962e-01
2.002253e+01 3.558193e+00 1.338457e-01
2.029450e+01 3.534271e+00 1.360303e-01
2.057016e+01 3.510509e+00 1.382506e-01
2.084957e+01 3.486908e+00 1.405071e-01
2.113277e+01 3.463465e+00 1.428004e-01
2.141982e+01 3.440179e+00 1.451312e-01
2.171077e+01 3.417050e+00 1.475000e-01
2.200567e+01 3.394077e+00 1.499075e-01
2.230457e+01 3.371258e+00 1.523542e-01
2.260754e+01 3.348593e+00 1.548409e-01
2.291462e+01 3.326080e+00 1.573682e-01
2.322587e+01 3.303718e+00 1.599367e-01
2.354135e+01 3.281506e+00 1.625472e-01
2.386112e+01 3.259444e+00 1.652003e-01
2.418523e+01 3.237531e+00 1.678966e-01
2.451374e+01 3.215764e+00 1.706370e-01
2.484671e+01 3.194144e+00 1.734221e-01
2.518421e+01 3.172669e+00 1.762527e-01
2.552629e+01 3.151339e+00 1.791294e-01
2.587302e+01 3.130152e+00 1.820532e-01
2.622445e+01 3.109108e+00 1.850246e-01
2.658066e+01 3.088205e+00 1.880445e-01
2.694171e+01 3.067442e+00 1.911138e-01
2.730767e+01 3.046819e+00 1.942331e-01
2.767859e+01 3.026335e+00 1.974033e-01
2.805455e+01 3.005989e+00 2.006253e-01
2.843562e+01 2.985779e+00 2.038999e-01
2.882186e+01 2.965705e+00 2.072279e-01
2.921336e+01 2.945766e+00 2.106102e-01
2.961016e+01 2.925961e+00 2.140478e-01
3.001236e+01 2.906290e+00 2.175414e-01
3.042003e+01 2.886750e+00 2.210921e-01
3.083322e+01 2.867342e+00 2.247007e-01
3.125204e+01 2.848064e+00 2.283683e-01
3.167654e+01 2.828917e+00 2.320956e-01
3.210680e+01 2.809897e+00 2.358839e-01
3.254291e+01 2.791006e+00 2.397339e-01
3.298495e+01 2.772242e+00 2.436468e-01
3.343299e+01 2.753603e+00 2.476236e-01
3.388711e+01 2.735090e+00 2.516652e-01
3.434741e+01 2.716702e+00 2.557729e-01
3.481395e+01 2.698437e+00 2.599476e-01
3.528683e+01 2.680295e+00 2.641904e-01
3.576614e+01 2.662275e+00 2.685024e-01
3.625196e+01 2.644376e+00 2.728849e-01
3.674437e+01 2.626598e+00 2.773389e-01
3.724348e+01 2.608939e+00 2.818655e-01
3.774936e+01 2.591398e+00 2.864661e-01
3.826211e+01 2.573976e+00 2.911417e-01
3.878183e+01 2.556671e+00 2.958937e-01
3.930861e+01 2.539482e+00 3.007232e-01
3.984255e+01 2.522409e+00 3.056316e-01
4.038373e+01 2.505450e+00 3.106201e-01
4.093227e+01 2.488606e+00 3.156899e-01
4.148826e+01 2.471874e+00 3.208426e-01
4.205180e+01 2.455256e+00 3.260793e-01
4.262299e+01 2.438748e+00 3.314015e-01
4.320195e+01 2.422352e+00 3.368106e-01
4.378877e+01 2.406067e+00 3.423080e-01
4.438355e+01 2.389890e+00 3.478950e-01
4.498642e+01 2.373823e+00 3.535733e-01
4.559748e+01 2.357863e+00 3.593443e-01
4.621683e+01 2.342011e+00 3.652094e-01
