# rau, sigma_g, hau_mid
9.062917e-01 1.383677e+03 1.954696e-02
9.214941e-01 1.366505e+03 1.995766e-02
9.369515e-01 1.349545e+03 2.037699e-02
9.526682e-01 1.332796e+03 2.080514e-02
9.686485e-01 1.316254e+03 2.124228e-02
9.848969e-01 1.299917e+03 2.168861e-02
1.001418e+00 1.283782e+03 2.214431e-02
1.018216e+00 1.267847e+03 2.260959e-02
1.035296e+00 1.252110e+03 2.308465e-02
1.052662e+00 1.236567e+03 2.356968e-02
1.070320e+00 1.221217e+03 2.406491e-02
1.088274e+00 1.206057e+03 2.457054e-02
1.106529e+00 1.191085e+03 2.508680e-02
1.125090e+00 1.176298e+03 2.561391e-02
1.143962e+00 1.161694e+03 2.615209e-02
1.163151e+00 1.147271e+03 2.670157e-02
1.182662e+00 1.133026e+03 2.726261e-02
1.202501e+00 1.118958e+03 2.783543e-02
1.222672e+00 1.105065e+03 2.842029e-02
1.243181e+00 1.091343e+03 2.901743e-02
1.264035e+00 1.077791e+03 2.962713e-02
1.285238e+00 1.064407e+03 3.024963e-02
1.306797e+00 1.051188e+03 3.088521e-02
1.328718e+00 1.038133e+03 3.153415e-02
1.351006e+00 1.025240e+03 3.219672e-02
1.373668e+00 1.012506e+03 3.287322e-02
1.396710e+00 9.999303e+02 3.356393e-02
1.420139e+00 9.875099e+02 3.426915e-02
1.443961e+00 9.752432e+02 3.498919e-02
1.468182e+00 9.631284e+02 3.572435e-02
1.492810e+00 9.511634e+02 3.647497e-02
1.517851e+00 9.393465e+02 3.724135e-02
1.543312e+00 9.276758e+02 3.802384e-02
1.569200e+00 9.161496e+02 3.882277e-02
1.595522e+00 9.047659e+02 3.963849e-02
1.622285e+00 8.935231e+02 4.047135e-02
1.649498e+00 8.824193e+02 4.132170e-02
1.677167e+00 8.714530e+02 4.218993e-02
1.705301e+00 8.606222e+02 4.307639e-02
1.733906e+00 8.499255e+02 4.398148e-02
1.762991e+00 8.393610e+02 4.490559e-02
1.792564e+00 8.289272e+02 4.584912e-02
1.822633e+00 8.186225e+02 4.681247e-02
1.853206e+00 8.084451e+02 4.779606e-02
1.884292e+00 7.983936e+02 4.880032e-02
1.915900e+00 7.884664e+02 4.982568e-02
1.948038e+00 7.786619e+02 5.087258e-02
1.980715e+00 7.689787e+02 5.194148e-02
2.013940e+00 7.594151e+02 5.303284e-02
2.047722e+00 7.499697e+02 5.414714e-02
2.082071e+00 7.406411e+02 5.528484e-02
2.116996e+00 7.314278e+02 5.644645e-02
2.152507e+00 7.223283e+02 5.763247e-02
2.188614e+00 7.133413e+02 5.884340e-02
2.225327e+00 7.044653e+02 6.007978e-02
2.262655e+00 6.956990e+02 6.134214e-02
2.300609e+00 6.870410e+02 6.263102e-02
2.339200e+00 6.784899e+02 6.394698e-02
2.378439e+00 6.700444e+02 6.529060e-02
2.418335e+00 6.617033e+02 6.666244e-02
2.458901e+00 6.534651e+02 6.806311e-02
2.500147e+00 6.453287e+02 6.949321e-02
2.542085e+00 6.372927e+02 7.095336e-02
2.584727e+00 6.293559e+02 7.244418e-02
2.628084e+00 6.215171e+02 7.396634e-02
2.672168e+00 6.137750e+02 7.552047e-02
2.716992e+00 6.061285e+02 7.710726e-02
2.762568e+00 5.985763e+02 7.872739e-02
2.808908e+00 5.911174e+02 8.038156e-02
2.856025e+00 5.837504e+02 8.207049e-02
2.903933e+00 5.764743e+02 8.379490e-02
2.952644e+00 5.692879e+02 8.555555e-02
3.002173e+00 5.621902e+02 8.735319e-02
3.052532e+00 5.551799e+02 8.918860e-02
3.103736e+00 5.482561e+02 9.106258e-02
3.155799e+00 5.414177e+02 9.297593e-02
3.208735e+00 5.346635e+02 9.492949e-02
3.262559e+00 5.279925e+02 9.692409e-02
3.317286e+00 5.214038e+02 9.896060e-02
3.372931e+00 5.148962e+02 1.010399e-01
3.429510e+00 5.084687e+02 1.031629e-01
3.487037e+00 5.021204e+02 1.053305e-01
3.545530e+00 4.958503e+02 1.075436e-01
3.605004e+00 4.896574e+02 1.098033e-01
3.665475e+00 4.835407e+02 1.121104e-01
3.726961e+00 4.774992e+02 1.144660e-01
3.789478e+00 4.715321e+02 1.168711e-01
3.853044e+00 4.656384e+02 1.193267e-01
3.917676e+00 4.598172e+02 1.218339e-01
3.983392e+00 4.540676e+02 1.243938e-01
4.050210e+00 4.483886e+02 1.270075e-01
4.118150e+00 4.427795e+02 1.296761e-01
4.187229e+00 4.372393e+02 1.324008e-01
4.257466e+00 4.317671e+02 1.351828e-01
4.328882e+00 4.263622e+02 1.380231e-01
4.401496e+00 4.210236e+02 1.409232e-01
4.475328e+00 4.157506e+02 1.438842e-01
4.550398e+00 4.105423e+02 1.469074e-01
4.626728e+00 4.053980e+02 1.499942e-01
4.704338e+00 4.003167e+02 1.531457e-01
4.783250e+00 3.952978e+02 1.563636e-01
4.863486e+00 3.903403e+02 1.596490e-01
4.945067e+00 3.854437e+02 1.630034e-01
5.028017e+00 3.806071e+02 1.664284e-01
5.112358e+00 3.758297e+02 1.699253e-01
5.198114e+00 3.711109e+02 1.734957e-01
5.285309e+00 3.664498e+02 1.771410e-01
5.373966e+00 3.618457e+02 1.808630e-01
5.464111e+00 3.572980e+02 1.846632e-01
5.555767e+00 3.528060e+02 1.885433e-01
5.648961e+00 3.483688e+02 1.925048e-01
5.743718e+00 3.439859e+02 1.965497e-01
5.840065e+00 3.396566e+02 2.006794e-01
5.938028e+00 3.353801e+02 2.048960e-01
6.037634e+00 3.311559e+02 2.092012e-01
6.138911e+00 3.269832e+02 2.135968e-01
6.241887e+00 3.228615e+02 2.180848e-01
6.346590e+00 3.187900e+02 2.226671e-01
6.453049e+00 3.147681e+02 2.273456e-01
6.561295e+00 3.107953e+02 2.321225e-01
6.671356e+00 3.068708e+02 2.369997e-01
6.783263e+00 3.029942e+02 2.419794e-01
6.897047e+00 2.991647e+02 2.470638e-01
7.012740e+00 2.953818e+02 2.522550e-01
7.130374e+00 2.916449e+02 2.575552e-01
7.249981e+00 2.879534e+02 2.629668e-01
7.371594e+00 2.843068e+02 2.684921e-01
7.495247e+00 2.807044e+02 2.741336e-01
7.620974e+00 2.771458e+02 2.798935e-01
7.748811e+00 2.736303e+02 2.857745e-01
7.878791e+00 2.701575e+02 2.917790e-01
8.010952e+00 2.667267e+02 2.979097e-01
8.145330e+00 2.633375e+02 3.041693e-01
8.281962e+00 2.599892e+02 3.105603e-01
8.420886e+00 2.566815e+02 3.170857e-01
8.562141e+00 2.534138e+02 3.237481e-01
8.705764e+00 2.501855e+02 3.305505e-01
8.851797e+00 2.469962e+02 3.374959e-01
9.000280e+00 2.438454e+02 3.445872e-01
9.151253e+00 2.407326e+02 3.518275e-01
9.304759e+00 2.376573e+02 3.592199e-01
9.460839e+00 2.346190e+02 3.667676e-01
9.619538e+00 2.316173e+02 3.744740e-01
9.780899e+00 2.286516e+02 3.823422e-01
9.944966e+00 2.257216e+02 3.903758e-01
1.011179e+01 2.228268e+02 3.985782e-01
1.028140e+01 2.199667e+02 4.069529e-01
1.045387e+01 2.171409e+02 4.155036e-01
1.062922e+01 2.143490e+02 4.242340e-01
1.080752e+01 2.115904e+02 4.331478e-01
1.098881e+01 2.088648e+02 4.422488e-01
1.117314e+01 2.061718e+02 4.515412e-01
1.136056e+01 2.035110e+02 4.610287e-01
1.155112e+01 2.008819e+02 4.707156e-01
1.174489e+01 1.982841e+02 4.806061e-01
1.194190e+01 1.957172e+02 4.907043e-01
1.214222e+01 1.931809e+02 5.010148e-01
1.234589e+01 1.906746e+02 5.115418e-01
1.255299e+01 1.881982e+02 5.222901e-01
1.276355e+01 1.857511e+02 5.332642e-01
1.297765e+01 1.833330e+02 5.444689e-01
1.319534e+01 1.809435e+02 5.559090e-01
1.341669e+01 1.785822e+02 5.675895e-01
1.364174e+01 1.762488e+02 5.795154e-01
1.387057e+01 1.739430e+02 5.916919e-01
1.410324e+01 1.716643e+02 6.041243e-01
1.433981e+01 1.694124e+02 6.168178e-01
1.458035e+01 1.671870e+02 6.297781e-01
1.482493e+01 1.649877e+02 6.430107e-01
1.507360e+01 1.628141e+02 6.565214e-01
1.532645e+01 1.606660e+02 6.703159e-01
1.558354e+01 1.585431e+02 6.844002e-01
1.584495e+01 1.564449e+02 6.987805e-01
1.611073e+01 1.543712e+02 7.134630e-01
1.638098e+01 1.523217e+02 7.284539e-01
